symbol,regime,vol_ratio,rsi_strength,rsi_div_regular,rsi_div_hidden,macd_div,sentiment_fg,mtf_bias,confluence_score,entry_to_sl,direction_encoded,outcome_win,duration_candles,r_multiple
XRPUSDT,VOLATILE,1.267536429689695,0.27801418439716485,0,0,0,50,0.0,0.07,1.4999999999999998,1.0,0,1,-1.0
XRPUSDT,VOLATILE,1.3269497488618458,0.07563025210084064,0,0,0,50,0.0,0.07,1.5000000000000009,1.0,1,61,1.333
XRPUSDT,NORMAL,1.1525300059028019,0.2601769911504415,0,0,0,50,0.0,0.08,1.5000339974162038,1.0,1,37,1.333
XRPUSDT,CHOPPY,0.7825515124945215,0.23106796116504869,0,0,0,50,0.0,0.07,1.5000000000000142,1.0,1,7,1.333
XRPUSDT,VOLATILE,1.242702985358436,0.5154511742892484,0,0,0,50,0.0,0.07,1.4999586537666525,1.0,0,3,-1.0
XRPUSDT,VOLATILE,1.3440388473292448,0.37459283387621867,1,0,1,50,0.0,0.07,1.500000000000005,1.0,0,20,-1.0
XRPUSDT,CHOPPY,0.7305478530084797,0.5277547638773845,0,0,0,50,0.0,0.08,1.4999999999999936,1.0,0,2,-1.0
XRPUSDT,NORMAL,0.8584079314659737,0.31180124223602346,1,0,1,50,0.0,0.07,1.5000394601846734,-1.0,1,6,1.333
ARBUSDT,NORMAL,0.8250995017952083,0.030042918454935688,0,0,0,50,0.0,0.07,1.4999999999999982,-1.0,0,2,-1.0
ARBUSDT,NORMAL,0.9285857706980797,0.025495750708215182,1,0,1,50,0.0,0.07,1.4999999999999947,-1.0,1,3,1.333
ARBUSDT,NORMAL,0.9794032137665499,0.11735537190082652,1,0,0,50,0.0,0.07,1.5004642525533949,-1.0,0,2,-1.0
ARBUSDT,NORMAL,1.0579433621209073,0.12676056338028174,0,0,0,50,0.0,0.08,1.500446030330065,-1.0,1,2,1.333
ARBUSDT,NORMAL,1.1731670710144317,0.0014224751066871022,1,0,1,50,0.0,0.08,1.4999999999999958,-1.0,0,6,-1.0
ARBUSDT,VOLATILE,1.512022645500449,0.40803382663847626,0,0,0,50,0.0,0.08,1.5000000000000067,-1.0,0,13,-1.0
ARBUSDT,CHOPPY,0.7780554496255486,0.4219409282700431,0,0,0,50,0.0,0.07,1.4994499449944876,1.0,0,2,-1.0
ARBUSDT,NORMAL,0.8217154853213434,0.3987473903966597,0,0,0,50,0.0,0.07,1.5000000000000036,1.0,1,4,1.333
ARBUSDT,NORMAL,1.0605968225210778,0.4680306905370844,1,0,0,50,0.0,0.07,1.5004068348250597,-1.0,1,2,1.333
ARBUSDT,NORMAL,1.0539447646906983,0.4306358381502872,0,0,0,50,0.0,0.07,1.4996347699050396,1.0,0,8,-1.0
